Index,0,0,
Name,C4-C3,CZ-FZ,
Time,20110131110115,20110131110115,
Highcut,500.000000,500.000000,
Lowcut,30.000000,30.000000,
Period,0.000156,0.000156,
Averages,230,230,
Int (mA),65/63mA,65/63mA,
Pulse Width (µs),300µs,300µs,
Rep Rate (Hz),2.78Hz,2.78Hz,
Data0,0.305923,-0.174935,
Data1,0.275352,-0.167610,
Data2,0.241597,-0.160286,
Data3,0.205081,-0.153386,
Data4,0.166655,-0.146911,
Data5,0.126743,-0.141073,
Data6,0.086406,-0.136190,
Data7,0.046281,-0.132263,
Data8,0.007006,-0.129503,
Data9,-0.030359,-0.127910,
Data10,-0.065388,-0.127804,
Data11,-0.097445,-0.128972,
Data12,-0.125894,-0.131520,
Data13,-0.149883,-0.135447,
Data14,-0.169415,-0.140755,
Data15,-0.184064,-0.147124,
Data16,-0.193829,-0.154660,
Data17,-0.198288,-0.163152,
Data18,-0.197651,-0.172281,
Data19,-0.192131,-0.182047,
Data20,-0.182153,-0.192237,
Data21,-0.167929,-0.202534,
Data22,-0.149883,-0.212830,
Data23,-0.128653,-0.222914,
Data24,-0.104876,-0.232468,
Data25,-0.078975,-0.241597,
Data26,-0.051801,-0.249876,
Data27,-0.023990,-0.257307,
Data28,0.003609,-0.263676,
Data29,0.030996,-0.269090,
Data30,0.057109,-0.273336,
Data31,0.081735,-0.276414,
Data32,0.104239,-0.278431,
Data33,0.124620,-0.279386,
Data34,0.142241,-0.279174,
Data35,0.157102,-0.278006,
Data36,0.169203,-0.275989,
Data37,0.178332,-0.273229,
Data38,0.184701,-0.269726,
Data39,0.188310,-0.265799,
Data40,0.189583,-0.261341,
Data41,0.188734,-0.256564,
Data42,0.185974,-0.251575,
Data43,0.181516,-0.246480,
Data44,0.175784,-0.241384,
Data45,0.168990,-0.236289,
Data46,0.161560,-0.231406,
Data47,0.153917,-0.226630,
Data48,0.145850,-0.221959,
Data49,0.137995,-0.217501,
Data50,0.130564,-0.213255,
Data51,0.123346,-0.209009,
Data52,0.116128,-0.204869,
Data53,0.108273,-0.199880,
Data54,0.100630,-0.194785,
Data55,0.093836,-0.190645,
Data56,0.088317,-0.187142,
Data57,0.083646,-0.183851,
Data58,0.080037,-0.180561,
Data59,0.077065,-0.177058,
Data60,0.074305,-0.173342,
Data61,0.071757,-0.169415,
Data62,0.069210,-0.165381,
Data63,0.066450,-0.161135,
Data64,0.063690,-0.156995,
Data65,0.060718,-0.152749,
Data66,0.057533,-0.148610,
Data67,0.054349,-0.144470,
Data68,0.050952,-0.140436,
Data69,0.047343,-0.136509,
Data70,0.043521,-0.132687,
Data71,0.039700,-0.128972,
Data72,0.035666,-0.125469,
Data73,0.031420,-0.122072,
Data74,0.026962,-0.118782,
Data75,0.022504,-0.115703,
Data76,0.017833,-0.112837,
Data77,0.012950,-0.110077,
Data78,0.008067,-0.107424,
Data79,0.002972,-0.104982,
Data80,-0.001911,-0.102753,
Data81,-0.007006,-0.100630,
Data82,-0.012313,-0.098613,
Data83,-0.017409,-0.096809,
Data84,-0.022716,-0.095004,
Data85,-0.027811,-0.093306,
Data86,-0.032906,-0.091713,
Data87,-0.038002,-0.090121,
Data88,-0.042884,-0.088529,
Data89,-0.047767,-0.086937,
Data90,-0.052438,-0.085344,
Data91,-0.057109,-0.083646,
Data92,-0.061567,-0.081841,
Data93,-0.065813,-0.079931,
Data94,-0.070059,-0.077914,
Data95,-0.073880,-0.075791,
Data96,-0.077702,-0.073349,
Data97,-0.081311,-0.070802,
Data98,-0.084920,-0.068148,
Data99,-0.088317,-0.065176,
Data100,-0.091289,-0.061991,
Data101,-0.094473,-0.058595,
Data102,-0.097233,-0.054986,
Data103,-0.099781,-0.051270,
Data104,-0.102328,-0.047237,
Data105,-0.104664,-0.042991,
Data106,-0.106787,-0.038638,
Data107,-0.108697,-0.034180,
Data108,-0.110396,-0.029616,
Data109,-0.112094,-0.024839,
Data110,-0.113368,-0.020062,
Data111,-0.114642,-0.015179,
Data112,-0.115491,-0.010297,
Data113,-0.116340,-0.005307,
Data114,-0.116765,-0.000318,
Data115,-0.116977,0.004564,
Data116,-0.116977,0.009553,
