Index,0,0,
Name,C4-C3,CZ-FZ,
Time,20110131110115,20110131110115,
Highcut,500.000000,500.000000,
Lowcut,30.000000,30.000000,
Period,0.000156,0.000156,
Averages,114,114,
Int (mA),65/63mA,65/63mA,
Pulse Width (µs),300µs,300µs,
Rep Rate (Hz),2.78Hz,2.78Hz,
Data0,0.174328,-0.564530,
Data1,0.148842,-0.551466,
Data2,0.120573,-0.538295,
Data3,0.090162,-0.525446,
Data4,0.057824,-0.513024,
Data5,0.024200,-0.501353,
Data6,-0.009637,-0.490752,
Data7,-0.043475,-0.481436,
Data8,-0.076670,-0.473619,
Data9,-0.108366,-0.467408,
Data10,-0.137920,-0.463018,
Data11,-0.164690,-0.460448,
Data12,-0.188462,-0.459805,
Data13,-0.208594,-0.461090,
Data14,-0.224656,-0.464196,
Data15,-0.236649,-0.469121,
Data16,-0.244144,-0.475653,
Data17,-0.247143,-0.483577,
Data18,-0.245858,-0.492786,
Data19,-0.240289,-0.502852,
Data20,-0.230866,-0.513667,
Data21,-0.217588,-0.525017,
Data22,-0.200884,-0.536475,
Data23,-0.181609,-0.547933,
Data24,-0.159979,-0.559069,
Data25,-0.136635,-0.569563,
Data26,-0.112221,-0.579307,
Data27,-0.086950,-0.588088,
Data28,-0.061893,-0.595798,
Data29,-0.037050,-0.602116,
Data30,-0.013278,-0.607148,
Data31,0.008995,-0.610682,
Data32,0.029768,-0.612824,
Data33,0.048615,-0.613466,
Data34,0.065319,-0.612824,
Data35,0.079668,-0.610789,
Data36,0.091447,-0.607470,
Data37,0.101084,-0.602972,
Data38,0.108366,-0.597511,
Data39,0.113506,-0.591193,
Data40,0.116718,-0.584019,
Data41,0.118217,-0.576202,
Data42,0.118431,-0.567957,
Data43,0.117361,-0.559176,
Data44,0.115219,-0.550181,
Data45,0.112649,-0.541080,
Data46,0.109651,-0.531764,
Data47,0.106653,-0.522340,
Data48,0.103654,-0.512917,
Data49,0.101084,-0.503494,
Data50,0.098943,-0.493964,
Data51,0.097229,-0.484541,
Data52,0.095730,-0.474797,
Data53,0.093589,-0.464196,
Data54,0.091875,-0.453273,
Data55,0.091019,-0.443208,
Data56,0.091447,-0.433785,
Data57,0.092946,-0.424469,
Data58,0.095302,-0.415045,
Data59,0.098086,-0.405515,
Data60,0.101084,-0.395878,
Data61,0.104297,-0.386026,
Data62,0.107081,-0.376175,
Data63,0.109865,-0.366324,
Data64,0.112221,-0.356686,
Data65,0.114362,-0.347156,
Data66,0.116076,-0.337947,
Data67,0.117361,-0.329059,
Data68,0.118431,-0.320386,
Data69,0.119288,-0.312141,
Data70,0.119716,-0.304110,
Data71,0.120145,-0.296507,
Data72,0.119931,-0.289118,
Data73,0.119716,-0.282158,
Data74,0.119074,-0.275412,
Data75,0.118431,-0.268880,
Data76,0.117575,-0.262562,
Data77,0.116504,-0.256459,
Data78,0.115219,-0.250569,
Data79,0.113934,-0.244787,
Data80,0.112435,-0.239004,
Data81,0.110936,-0.233329,
Data82,0.109437,-0.227654,
Data83,0.107723,-0.221979,
Data84,0.106010,-0.216303,
Data85,0.104297,-0.210414,
Data86,0.102155,-0.204524,
Data87,0.100228,-0.198421,
Data88,0.098086,-0.192210,
Data89,0.095730,-0.185785,
Data90,0.093160,-0.179253,
Data91,0.090590,-0.172400,
Data92,0.087592,-0.165333,
Data93,0.084380,-0.158051,
Data94,0.081167,-0.150663,
Data95,0.077527,-0.142953,
Data96,0.073672,-0.135029,
Data97,0.069603,-0.126891,
Data98,0.065105,-0.118646,
Data99,0.060394,-0.110079,
Data100,0.055682,-0.101406,
Data101,0.050542,-0.092411,
Data102,0.045188,-0.083416,
Data103,0.039834,-0.074100,
Data104,0.034266,-0.064677,
Data105,0.028484,-0.055147,
Data106,0.022915,-0.045402,
Data107,0.017347,-0.035551,
Data108,0.011779,-0.025592,
Data109,0.006425,-0.015527,
Data110,0.001071,-0.005247,
Data111,-0.003641,0.005140,
Data112,-0.008352,0.015741,
Data113,-0.012636,0.026663,
Data114,-0.016490,0.037692,
Data115,-0.020131,0.048936,
Data116,-0.023129,0.060501,
Data117,-0.025699,0.072280,
Data118,-0.027841,0.084273,
