Index,0,0,
Name,C4-C3,CZ-FZ,
Time,20110131105926,20110131105926,
Highcut,500.000000,500.000000,
Lowcut,30.000000,30.000000,
Period,0.000156,0.000156,
Averages,272,272,
Int (mA),65/63mA,65/63mA,
Pulse Width (µs),300µs,300µs,
Rep Rate (Hz),2.78Hz,2.78Hz,
Data0,0.388127,0.042837,
Data1,0.352891,0.047756,
Data2,0.314615,0.053032,
Data3,0.273835,0.058487,
Data4,0.230909,0.064032,
Data5,0.187088,0.069577,
Data6,0.142731,0.074853,
Data7,0.098731,0.079772,
Data8,0.055804,0.084243,
Data9,0.014845,0.088089,
Data10,-0.023431,0.091219,
Data11,-0.058666,0.093633,
Data12,-0.090146,0.095154,
Data13,-0.117154,0.095869,
Data14,-0.139690,0.095690,
Data15,-0.157218,0.094707,
Data16,-0.169738,0.092918,
Data17,-0.177251,0.090324,
Data18,-0.179576,0.087016,
Data19,-0.177251,0.083081,
Data20,-0.170454,0.078699,
Data21,-0.159365,0.073869,
Data22,-0.144698,0.068861,
Data23,-0.127170,0.063585,
Data24,-0.106958,0.058308,
Data25,-0.084959,0.053032,
Data26,-0.061707,0.047935,
Data27,-0.037918,0.043105,
Data28,-0.014130,0.038544,
Data29,0.008764,0.034431,
Data30,0.030764,0.030675,
Data31,0.050975,0.027366,
Data32,0.069398,0.024414,
Data33,0.085316,0.021910,
Data34,0.098731,0.019853,
Data35,0.109284,0.018154,
Data36,0.117154,0.016813,
Data37,0.122340,0.015650,
Data38,0.124666,0.014756,
Data39,0.124487,0.014041,
Data40,0.122162,0.013325,
Data41,0.117511,0.012699,
Data42,0.111251,0.011984,
Data43,0.103560,0.011179,
Data44,0.094438,0.010284,
Data45,0.084780,0.009211,
Data46,0.074406,0.007870,
Data47,0.063674,0.006350,
Data48,0.052943,0.004650,
Data49,0.042390,0.002683,
Data50,0.032195,0.000537,
Data51,0.022358,-0.001789,
Data52,0.012699,-0.004114,
Data53,0.002504,-0.005724,
Data54,-0.007333,-0.007333,
Data55,-0.016276,-0.009748,
Data56,-0.024146,-0.012967,
Data57,-0.030585,-0.016455,
Data58,-0.036130,-0.019943,
Data59,-0.040959,-0.023341,
Data60,-0.045252,-0.026561,
Data61,-0.049187,-0.029691,
Data62,-0.052943,-0.032642,
Data63,-0.056520,-0.035593,
Data64,-0.060097,-0.038634,
Data65,-0.063495,-0.041585,
Data66,-0.066715,-0.044626,
Data67,-0.069756,-0.047756,
Data68,-0.072617,-0.050886,
Data69,-0.075300,-0.054105,
Data70,-0.077804,-0.057414,
Data71,-0.080129,-0.060723,
Data72,-0.082276,-0.064032,
Data73,-0.084064,-0.067341,
Data74,-0.085674,-0.070560,
Data75,-0.086926,-0.073690,
Data76,-0.087999,-0.076731,
Data77,-0.088715,-0.079682,
Data78,-0.089251,-0.082544,
Data79,-0.089430,-0.085138,
Data80,-0.089251,-0.087642,
Data81,-0.088894,-0.089967,
Data82,-0.087999,-0.092113,
Data83,-0.086926,-0.094081,
Data84,-0.085674,-0.095780,
Data85,-0.083885,-0.097300,
Data86,-0.081918,-0.098552,
Data87,-0.079593,-0.099715,
Data88,-0.077089,-0.100698,
Data89,-0.074227,-0.101414,
Data90,-0.071186,-0.102129,
Data91,-0.067967,-0.102576,
Data92,-0.064569,-0.103024,
Data93,-0.060991,-0.103292,
Data94,-0.057235,-0.103560,
Data95,-0.053479,-0.103828,
Data96,-0.049723,-0.104007,
Data97,-0.045967,-0.104276,
Data98,-0.042211,-0.104544,
Data99,-0.038455,-0.104902,
Data100,-0.034699,-0.105349,
Data101,-0.031122,-0.105885,
Data102,-0.027723,-0.106511,
Data103,-0.024504,-0.107227,
Data104,-0.021463,-0.108210,
Data105,-0.018423,-0.109194,
Data106,-0.015740,-0.110446,
Data107,-0.013236,-0.111788,
Data108,-0.010910,-0.113308,
Data109,-0.008764,-0.115007,
Data110,-0.006797,-0.116796,
Data111,-0.005008,-0.118763,
Data112,-0.003398,-0.120910,
Data113,-0.001967,-0.123145,
Data114,-0.000715,-0.125560,
Data115,0.000179,-0.128153,
Data116,0.001252,-0.130747,
Data117,0.002146,-0.133519,
Data118,0.002862,-0.136381,
